Diseases,Temperature,Weather,Region_Type,Air_Quality,Water_Quality,Humidity,time_delay,Risk_percent
Drug Reaction,1,19,15,4,4,1,29,28
Peptic ulcer diseae,3,24,12,6,6,2,30,36
Peptic ulcer diseae,1,22,14,5,5,1,29,29
Peptic ulcer diseae,2,26,8,6,4,3,28,36
Peptic ulcer diseae,3,20,13,5,5,2,29,28
Peptic ulcer diseae,2,21,9,6,4,1,30,30
Peptic ulcer diseae,1,26,18,4,6,3,28,28
Peptic ulcer diseae,2,22,7,6,4,1,29,40
Peptic ulcer diseae,1,19,11,4,6,3,28,22
Peptic ulcer diseae,3,23,7,5,4,1,29,40
Peptic ulcer diseae,1,20,11,4,6,2,30,34
AIDS,2,26,7,6,5,3,28,20
AIDS,1,20,17,4,6,1,29,31
AIDS,2,25,14,6,5,3,30,28
AIDS,1,19,9,5,6,1,28,34
AIDS,3,25,17,4,5,2,30,22
AIDS,2,19,11,6,4,3,28,36
AIDS,3,27,13,5,6,1,29,24
AIDS,2,25,8,4,4,2,28,43
AIDS,3,24,14,6,6,1,29,26
AIDS,2,25,7,5,4,3,28,36
Diabetes ,1,24,17,6,5,2,30,26
Diabetes ,3,25,16,4,4,1,29,24
Diabetes ,1,26,7,5,5,3,30,36
Diabetes ,2,20,9,6,6,2,28,29
Diabetes ,3,24,18,4,5,3,30,30
Diabetes ,1,20,13,6,4,2,29,37
Diabetes ,3,19,7,5,5,3,30,24
Diabetes ,2,23,13,4,4,2,28,26
Diabetes ,1,20,15,5,6,3,29,48
Diabetes ,3,22,18,6,5,1,30,26
Gastroenteritis,1,27,8,5,4,3,28,36
Gastroenteritis,3,23,9,6,6,2,29,22
Gastroenteritis,2,27,16,4,5,3,28,34
Gastroenteritis,3,19,18,6,6,1,29,29
Gastroenteritis,2,27,9,5,5,3,28,33
Gastroenteritis,3,25,16,4,4,2,30,31
Gastroenteritis,1,20,9,5,5,1,29,40
Gastroenteritis,3,21,16,6,4,2,28,26
Gastroenteritis,1,24,12,5,5,3,30,34
Gastroenteritis,3,26,13,4,6,1,29,28
Bronchial Asthma,1,19,17,5,4,3,30,36
Bronchial Asthma,2,20,18,4,6,1,29,28
Bronchial Asthma,3,21,8,5,5,3,30,34
Bronchial Asthma,1,26,12,6,6,2,29,30
Bronchial Asthma,2,23,17,5,4,1,28,24
Bronchial Asthma,1,20,11,6,5,2,29,40
Bronchial Asthma,2,23,9,4,4,3,30,26
Bronchial Asthma,3,27,17,6,6,2,29,29
Bronchial Asthma,1,22,8,4,5,1,28,43
Bronchial Asthma,2,24,13,6,6,2,30,24
Hypertension ,1,23,17,4,4,3,29,43
Hypertension ,3,22,8,6,5,1,28,29
Hypertension ,1,19,15,4,4,3,30,48
Hypertension ,3,24,16,6,5,1,29,24
Hypertension ,2,27,14,4,4,3,28,40
Hypertension ,1,22,8,6,6,1,29,26
Hypertension ,2,19,14,5,4,3,30,33
Hypertension ,1,25,8,6,5,1,28,34
Hypertension ,2,27,17,5,4,2,29,20
Hypertension ,3,26,13,6,5,3,28,31
Migraine,2,24,15,5,6,2,29,33
Migraine,1,20,8,4,4,1,30,24
Migraine,2,26,13,6,6,3,28,33
Migraine,3,22,10,4,4,2,30,31
Migraine,1,23,14,6,6,1,28,24
Migraine,3,26,12,4,4,3,29,40
Migraine,1,22,18,6,5,2,28,22
Migraine,3,24,8,5,6,3,30,48
Migraine,2,22,13,6,4,1,29,22
Migraine,3,25,10,4,5,3,28,26
Cervical spondylosis,1,27,14,6,4,2,29,24
Cervical spondylosis,3,22,8,4,6,1,28,36
Cervical spondylosis,2,27,15,5,4,2,30,28
Cervical spondylosis,3,26,8,6,6,3,28,24
Cervical spondylosis,2,20,18,5,4,2,29,34
Cervical spondylosis,3,21,8,4,6,1,28,33
Cervical spondylosis,1,24,17,5,4,3,29,29
Cervical spondylosis,2,19,9,4,6,1,30,22
Cervical spondylosis,1,22,17,5,4,3,28,37
Cervical spondylosis,2,26,16,4,6,1,30,33
Paralysis (brain hemorrhage),1,19,18,5,4,3,29,31
Paralysis (brain hemorrhage),2,23,10,6,5,1,28,24
Paralysis (brain hemorrhage),1,26,16,5,4,3,29,43
Paralysis (brain hemorrhage),2,19,15,6,5,1,30,26
Paralysis (brain hemorrhage),3,22,12,4,6,3,29,24
Paralysis (brain hemorrhage),1,20,11,5,5,1,30,31
Paralysis (brain hemorrhage),2,21,10,4,6,3,29,29
Paralysis (brain hemorrhage),1,25,8,5,4,1,30,26
Paralysis (brain hemorrhage),2,20,12,6,5,2,28,34
Paralysis (brain hemorrhage),3,25,17,4,4,3,29,24
Jaundice,2,22,11,6,6,1,30,36
Jaundice,1,19,12,5,4,2,29,28
Jaundice,3,26,7,6,6,3,28,40
Jaundice,1,21,17,4,4,1,29,34
Jaundice,2,22,7,5,6,3,30,40
Jaundice,1,26,9,6,5,2,29,26
Jaundice,3,25,11,4,6,3,30,40
Jaundice,1,22,7,6,4,2,29,28
Jaundice,3,24,14,5,5,1,28,30
Jaundice,1,21,7,4,6,2,30,28
Malaria,3,26,16,6,5,3,28,95
Malaria,2,27,8,4,6,2,30,60
Malaria,1,22,11,6,4,3,28,78
Malaria,2,20,9,4,6,1,30,72
Malaria,3,26,14,5,4,2,29,95
Malaria,1,22,12,6,6,3,28,66
Malaria,3,19,18,5,5,1,29,92
Malaria,1,20,11,6,6,2,28,78
Malaria,3,22,12,4,4,1,29,84
Malaria,2,19,15,5,6,2,28,66
Chicken pox,1,25,16,4,4,3,30,40
Chicken pox,2,19,7,6,5,1,29,29
Chicken pox,3,21,9,5,6,2,30,40
Chicken pox,2,23,10,4,5,1,28,29
Chicken pox,1,26,7,6,4,2,30,34
Chicken pox,3,19,16,4,6,3,28,33
Chicken pox,1,22,13,5,5,1,29,31
Chicken pox,2,21,11,4,4,2,30,24
Chicken pox,1,22,18,6,6,3,28,33
Chicken pox,3,21,9,4,4,1,30,24
Dengue,2,20,7,6,5,3,29,84
Dengue,1,25,16,4,6,1,28,66
Dengue,2,24,14,5,4,3,29,95
Dengue,1,19,7,4,6,2,28,79
Dengue,2,22,16,6,5,1,30,95
Dengue,3,26,14,4,4,2,28,71
Dengue,2,22,18,6,6,1,30,92
Dengue,1,21,17,4,4,2,29,86
Dengue,3,27,8,6,6,3,30,95
Dengue,2,20,13,5,4,1,29,71
Typhoid,3,23,14,6,6,3,28,29
Typhoid,2,25,17,4,5,1,29,22
Typhoid,3,26,10,5,6,3,30,30
Typhoid,2,23,14,6,5,1,28,26
Typhoid,1,19,12,5,4,2,29,36
Typhoid,2,24,11,4,6,3,30,26
Typhoid,3,25,13,5,5,2,29,52
Typhoid,1,19,12,4,6,3,28,22
Typhoid,3,23,11,5,5,2,30,36
Typhoid,1,21,10,6,4,1,28,29
hepatitis A,3,25,8,5,5,2,30,36
hepatitis A,2,22,10,6,4,3,28,31
hepatitis A,3,27,16,4,6,1,30,24
hepatitis A,2,23,10,5,5,2,29,36
hepatitis A,3,19,16,6,6,1,28,31
hepatitis A,1,27,11,4,4,3,29,24
hepatitis A,3,22,14,6,5,1,28,28
hepatitis A,1,23,17,5,4,3,29,40
hepatitis A,3,26,13,4,5,1,30,26
hepatitis A,1,19,7,5,4,2,29,36
Hepatitis B,2,20,8,6,5,1,28,26
Hepatitis B,1,23,9,5,6,3,29,33
Hepatitis B,2,21,11,6,5,2,30,22
Hepatitis B,1,24,7,5,4,3,28,26
Hepatitis B,3,23,15,6,5,1,29,26
Hepatitis B,2,22,11,5,6,2,30,24
Hepatitis B,3,25,13,6,4,3,28,26
Hepatitis B,1,27,14,5,6,1,30,31
Hepatitis B,3,23,9,6,4,2,28,26
Hepatitis B,1,22,7,5,5,1,29,36
Hepatitis C,2,21,15,4,6,2,28,24
Hepatitis C,1,19,16,6,5,1,29,22
Hepatitis C,2,26,13,5,6,2,30,30
Hepatitis C,1,24,15,4,4,1,29,37
Hepatitis C,2,20,17,5,5,3,28,26
Hepatitis C,1,23,8,4,6,2,30,26
Hepatitis C,2,27,16,6,4,1,29,31
Hepatitis C,3,21,13,4,5,2,30,26
Hepatitis C,1,26,8,6,4,1,29,31
Hepatitis C,2,19,12,5,6,2,30,30
Hepatitis D,1,24,8,6,4,3,29,34
Hepatitis D,2,19,10,5,5,2,30,22
Hepatitis D,1,27,18,6,6,3,29,29
Hepatitis D,2,25,13,4,4,2,28,24
Hepatitis D,1,26,18,5,5,3,29,37
Hepatitis D,2,22,13,4,4,2,30,26
Hepatitis D,1,19,16,6,6,1,28,31
Hepatitis D,2,21,7,5,4,3,30,26
Hepatitis D,3,23,14,6,6,2,29,29
Hepatitis D,1,25,13,5,4,1,30,26
Hepatitis E,3,24,10,6,5,2,29,34
Hepatitis E,2,21,17,4,6,3,30,26
Hepatitis E,1,25,13,6,4,1,28,26
Hepatitis E,3,21,7,4,6,2,29,28
Hepatitis E,2,20,14,5,5,3,28,44
Hepatitis E,1,22,9,6,6,1,29,20
Hepatitis E,3,24,14,4,5,3,30,40
Hepatitis E,1,26,12,6,4,2,29,22
Hepatitis E,2,23,11,5,6,1,28,24
Hepatitis E,3,25,9,4,4,3,30,34
Alcoholic hepatitis,2,19,10,5,6,2,29,30
Alcoholic hepatitis,1,23,12,6,4,3,28,31
Alcoholic hepatitis,2,19,17,5,5,2,29,22
Alcoholic hepatitis,1,20,8,4,4,1,28,40
Alcoholic hepatitis,3,27,15,6,6,3,29,28
Alcoholic hepatitis,2,23,10,5,4,1,28,24
Alcoholic hepatitis,1,26,11,6,6,2,30,36
Alcoholic hepatitis,3,25,9,5,5,3,28,26
Alcoholic hepatitis,2,24,10,4,6,2,30,31
Alcoholic hepatitis,3,25,8,5,4,3,28,26
Tuberculosis,1,20,12,4,6,2,29,31
Tuberculosis,3,23,17,5,4,1,30,44
Tuberculosis,1,22,15,6,6,2,29,20
Tuberculosis,2,25,16,5,4,1,28,34
Tuberculosis,1,23,14,4,5,3,29,36
Tuberculosis,2,25,9,6,4,2,30,31
Tuberculosis,1,21,8,4,5,3,29,36
Tuberculosis,2,22,9,6,6,2,30,28
Tuberculosis,1,23,8,4,4,3,29,30
Tuberculosis,3,24,13,5,6,2,28,28
Common Cold,2,20,17,4,5,1,29,8
Common Cold,1,21,13,5,6,2,30,7
Common Cold,2,24,15,6,4,1,29,9
Common Cold,1,25,9,5,6,3,30,5
Common Cold,3,19,18,6,4,1,29,13
Common Cold,2,26,16,4,6,2,30,6
Common Cold,3,21,12,6,4,3,29,11
Common Cold,1,20,13,5,6,1,28,6
Common Cold,3,23,15,4,5,3,30,8
Common Cold,2,19,18,5,4,2,29,7
Pneumonia,3,22,9,6,6,1,30,33
Pneumonia,2,25,15,4,4,2,28,22
Pneumonia,3,21,8,5,5,1,29,37
Pneumonia,2,25,16,6,4,2,30,33
Pneumonia,1,27,11,4,6,3,29,28
Pneumonia,2,26,9,5,4,2,28,24
Pneumonia,3,27,14,4,5,3,30,28
Pneumonia,2,25,17,6,6,1,29,26
Pneumonia,3,22,16,5,5,2,28,33
Pneumonia,2,19,11,6,4,3,29,29
Dimorphic hemmorhoids(piles),3,25,18,5,5,2,30,20
Dimorphic hemmorhoids(piles),1,19,17,6,4,3,29,29
Dimorphic hemmorhoids(piles),3,26,11,4,5,2,28,48
Dimorphic hemmorhoids(piles),1,27,18,6,6,1,30,24
Dimorphic hemmorhoids(piles),3,22,11,4,4,3,28,40
Dimorphic hemmorhoids(piles),2,25,10,6,6,1,30,26
Dimorphic hemmorhoids(piles),3,23,9,4,5,2,29,36
Dimorphic hemmorhoids(piles),1,21,16,5,6,1,30,22
Dimorphic hemmorhoids(piles),3,24,11,4,4,2,29,37
Dimorphic hemmorhoids(piles),2,25,10,5,6,3,30,36
Heart attack,1,26,15,4,4,1,28,22
Heart attack,3,19,11,6,5,3,29,26
Heart attack,1,20,8,4,6,2,28,31
Heart attack,2,25,18,6,4,1,29,36
Heart attack,3,21,10,4,5,2,28,26
Heart attack,1,23,9,6,6,1,30,31
Heart attack,2,21,15,5,4,2,28,40
Heart attack,3,24,9,6,6,1,30,26
Heart attack,1,20,8,5,5,2,29,34
Heart attack,3,21,14,6,6,1,30,30
Varicose veins,1,23,12,5,5,2,29,34
Varicose veins,2,20,8,4,4,3,28,26
Varicose veins,1,19,9,6,5,1,30,48
Varicose veins,2,24,11,5,6,3,29,22
Varicose veins,1,25,10,6,5,1,30,43
Varicose veins,2,26,16,4,6,2,28,20
Varicose veins,3,25,9,5,5,1,29,52
Varicose veins,1,26,18,4,6,3,28,22
Varicose veins,2,27,7,6,5,2,30,52
Varicose veins,3,22,14,5,6,1,29,22
Hypothyroidism,1,21,17,4,5,3,30,40
Hypothyroidism,2,23,16,6,6,2,29,28
Hypothyroidism,3,19,15,5,5,1,30,31
Hypothyroidism,1,26,17,6,6,2,29,40
Hypothyroidism,2,24,13,4,5,1,28,24
Hypothyroidism,3,20,12,5,4,2,30,31
Hypothyroidism,2,21,9,6,5,1,28,30
Hypothyroidism,3,24,10,5,6,2,29,24
Hypothyroidism,1,25,8,6,5,3,30,31
Hypothyroidism,2,27,13,4,6,1,28,30
Hyperthyroidism,3,24,9,5,5,2,29,41
Hyperthyroidism,1,22,12,4,6,1,28,24
Hyperthyroidism,3,27,13,6,5,3,30,33
Hyperthyroidism,2,23,10,4,6,2,29,37
Hyperthyroidism,1,21,8,5,4,1,28,24
Hyperthyroidism,2,23,9,4,6,3,29,33
Hyperthyroidism,1,20,18,6,5,2,30,28
Hyperthyroidism,2,21,15,5,4,1,29,31
Hyperthyroidism,3,25,14,4,6,2,30,36
Hyperthyroidism,2,21,8,5,5,1,28,31
Hypoglycemia,1,23,12,6,6,3,30,33
Hypoglycemia,2,26,17,5,5,1,29,26
Hypoglycemia,1,25,9,4,6,2,28,40
Hypoglycemia,2,22,12,5,4,3,30,22
Hypoglycemia,3,27,16,4,6,2,28,28
Hypoglycemia,1,21,7,5,5,3,30,36
Hypoglycemia,3,26,17,6,4,2,28,31
Hypoglycemia,2,25,18,5,6,3,30,44
Hypoglycemia,1,27,12,6,5,1,29,31
Hypoglycemia,3,19,16,4,4,2,30,31
Osteoarthristis,1,23,9,5,5,3,28,31
Osteoarthristis,3,21,10,4,6,2,30,33
Osteoarthristis,1,23,9,5,4,1,28,31
Osteoarthristis,2,21,10,4,6,2,30,22
Osteoarthristis,3,26,15,6,4,3,28,37
Osteoarthristis,1,22,13,5,5,1,30,28
Osteoarthristis,2,25,8,4,6,2,28,34
Osteoarthristis,3,23,15,5,5,1,30,30
Osteoarthristis,2,22,8,4,4,3,28,31
Osteoarthristis,1,27,12,5,5,1,29,28
Arthritis,3,20,13,6,6,3,30,34
Arthritis,2,25,8,4,4,1,28,26
Arthritis,1,27,9,6,5,3,29,31
Arthritis,3,19,14,5,6,2,30,33
Arthritis,1,26,8,6,5,1,29,28
Arthritis,3,19,18,5,4,2,30,33
Arthritis,2,20,17,6,6,1,29,37
Arthritis,3,19,13,5,4,2,28,28
Arthritis,1,27,15,4,6,3,29,41
Arthritis,3,22,8,6,5,2,28,28
(vertigo) Paroymsal  Positional Vertigo,2,21,12,4,4,3,29,28
(vertigo) Paroymsal  Positional Vertigo,1,23,7,6,6,2,30,36
(vertigo) Paroymsal  Positional Vertigo,2,20,18,4,5,1,29,31
(vertigo) Paroymsal  Positional Vertigo,3,23,9,5,4,3,28,20
(vertigo) Paroymsal  Positional Vertigo,1,21,18,4,5,1,30,37
(vertigo) Paroymsal  Positional Vertigo,3,19,15,5,4,3,29,33
(vertigo) Paroymsal  Positional Vertigo,2,27,8,6,6,1,30,37
(vertigo) Paroymsal  Positional Vertigo,1,25,15,5,4,2,28,28
(vertigo) Paroymsal  Positional Vertigo,3,27,13,4,6,1,30,31
(vertigo) Paroymsal  Positional Vertigo,1,21,15,5,4,3,28,40
Acne,2,19,9,4,5,1,30,26
Acne,3,27,15,5,6,3,29,37
Acne,1,25,10,6,5,2,30,22
Acne,2,23,9,4,4,1,28,29
Acne,1,19,17,6,6,2,29,33
Acne,2,20,14,4,4,1,30,29
Acne,1,23,18,6,5,3,29,24
Acne,2,25,10,5,4,1,28,30
Acne,1,19,12,6,5,2,30,29
Acne,3,22,18,4,6,3,28,31
Urinary tract infection,1,20,9,5,4,1,29,29
Urinary tract infection,2,26,8,4,6,2,30,43
Urinary tract infection,1,27,9,5,4,1,29,26
Urinary tract infection,2,25,12,4,5,3,28,43
Urinary tract infection,1,23,7,6,6,2,29,31
Urinary tract infection,3,24,11,5,5,1,28,20
Urinary tract infection,1,20,12,6,6,2,29,26
Urinary tract infection,2,21,14,5,4,3,28,40
Urinary tract infection,3,22,11,6,6,1,29,28
Urinary tract infection,1,24,14,4,4,2,28,24
Psoriasis,2,19,13,6,5,3,29,24
Psoriasis,3,23,14,5,6,1,30,28
Psoriasis,1,27,15,6,4,2,28,36
Psoriasis,2,24,7,5,6,3,30,24
Psoriasis,3,27,18,6,5,1,28,36
Psoriasis,2,23,13,5,6,3,29,26
Psoriasis,1,24,8,6,4,1,28,48
Psoriasis,2,20,18,4,5,2,29,24
Psoriasis,1,26,17,5,4,3,30,43
Psoriasis,3,25,7,6,6,2,28,24
Impetigo,2,22,16,5,4,1,29,52
Impetigo,3,21,7,6,6,2,28,24
Impetigo,2,24,14,5,4,1,30,31
Impetigo,3,23,17,4,6,2,28,28
Impetigo,1,24,18,5,5,1,30,24
Impetigo,3,26,9,4,4,2,28,34
Impetigo,1,22,18,5,5,1,29,26
Impetigo,2,26,17,4,6,2,30,29
Impetigo,3,24,10,5,4,1,28,48
Impetigo,1,21,13,6,5,2,30,20
Fungal infection,2,26,7,4,4,3,28,17
Fungal infection,3,20,15,5,6,1,29,13
Fungal infection,1,22,12,6,4,3,30,13
Fungal infection,2,27,17,4,6,2,29,18
Fungal infection,1,23,11,5,5,3,28,14
Fungal infection,2,25,10,4,4,1,29,18
Fungal infection,3,24,8,6,6,3,30,15
Fungal infection,2,20,18,5,4,2,29,11
Fungal infection,3,22,7,6,5,3,30,14
Fungal infection,1,24,12,5,4,1,29,14
Allergy,3,19,10,6,5,3,30,24
Allergy,2,21,14,4,6,2,29,36
Allergy,1,19,13,6,4,3,30,26
Allergy,2,20,10,4,6,2,29,48
Allergy,1,21,9,5,4,3,30,22
Allergy,3,23,12,4,6,1,29,31
Allergy,2,21,7,5,5,2,28,28
Allergy,1,26,13,4,4,1,30,34
Allergy,2,19,15,5,6,2,28,28
Allergy,1,24,16,4,5,3,29,31
GERD,3,27,17,6,6,2,30,36
GERD,2,26,15,5,5,3,29,34
GERD,1,25,9,6,6,2,30,22
GERD,2,19,11,5,4,3,28,43
GERD,1,23,12,4,6,2,29,31
GERD,3,20,13,5,5,1,30,33
GERD,2,24,18,6,6,3,29,26
GERD,3,27,12,4,4,2,28,43
GERD,2,25,16,5,6,1,29,24
GERD,1,19,13,4,5,2,28,26
Chronic cholestasis,3,24,12,5,4,1,30,34
Chronic cholestasis,2,21,9,6,5,2,28,26
Chronic cholestasis,1,22,18,4,6,3,30,36
Chronic cholestasis,2,25,8,6,5,1,28,22
Chronic cholestasis,3,23,15,5,4,2,29,29
Chronic cholestasis,1,25,12,4,6,1,30,28
Chronic cholestasis,3,26,11,6,5,2,28,22
Chronic cholestasis,1,25,15,5,6,1,30,37
Chronic cholestasis,2,19,14,6,4,3,28,26
Chronic cholestasis,1,24,9,4,5,1,30,37
Drug Reaction,2,20,12,6,6,2,28,30
Drug Reaction,1,24,15,4,5,3,30,29
Drug Reaction,3,22,9,6,6,1,28,26
Drug Reaction,2,27,10,5,5,3,30,24
Drug Reaction,1,21,8,4,4,1,28,28
Drug Reaction,2,23,16,5,6,2,30,29
Drug Reaction,1,22,8,6,5,1,29,43
Drug Reaction,3,27,15,4,4,2,30,22
Drug Reaction,2,19,12,5,6,3,28,36
Drug Reaction,3,20,18,6,4,2,29,26
Peptic ulcer diseae,2,25,11,5,6,3,30,26
Peptic ulcer diseae,3,23,7,4,5,1,29,33
Peptic ulcer diseae,1,22,15,5,6,2,30,31
Peptic ulcer diseae,3,21,13,4,5,1,28,24
Peptic ulcer diseae,1,20,16,6,6,3,30,33
Peptic ulcer diseae,2,27,15,5,4,2,28,28
Peptic ulcer diseae,1,24,7,4,5,3,29,29
Peptic ulcer diseae,2,23,18,6,4,2,30,28
Peptic ulcer diseae,1,21,15,4,6,1,29,41
Peptic ulcer diseae,3,24,13,6,5,3,28,22
AIDS,1,26,16,4,4,1,29,34
AIDS,3,25,15,5,5,3,30,30
AIDS,2,23,17,6,6,1,29,29
AIDS,1,25,12,5,5,2,30,26
AIDS,2,27,17,4,6,1,29,44
AIDS,3,21,12,5,5,3,30,22
AIDS,1,22,15,6,4,2,29,36
AIDS,3,25,18,5,5,1,30,28
AIDS,1,19,8,6,6,2,28,31
AIDS,3,24,10,5,5,1,30,28
Diabetes ,2,21,16,6,4,2,29,22
Diabetes ,1,20,11,4,5,1,28,28
Diabetes ,3,23,9,6,4,2,30,26
Diabetes ,2,20,13,5,6,1,28,36
Diabetes ,1,27,16,6,4,3,30,28
Diabetes ,2,20,17,5,6,1,28,36
Diabetes ,3,26,15,4,4,3,30,31
Diabetes ,1,24,10,6,5,2,29,33
Diabetes ,2,21,14,4,6,1,28,26
Diabetes ,1,23,16,6,5,2,30,36
Gastroenteritis,2,21,11,4,6,3,28,22
Gastroenteritis,1,23,8,6,5,1,29,36
Gastroenteritis,3,21,12,4,4,2,28,22
Gastroenteritis,2,22,14,5,5,1,30,28
Gastroenteritis,1,27,15,6,4,2,28,24
Gastroenteritis,3,22,13,5,5,3,29,41
Gastroenteritis,1,25,15,6,6,1,30,24
Gastroenteritis,3,20,7,5,4,3,28,22
Gastroenteritis,1,23,17,4,6,2,29,34
Gastroenteritis,2,22,8,6,4,3,30,30
Bronchial Asthma,3,26,15,5,5,2,29,22
Bronchial Asthma,2,24,18,6,6,1,30,34
Bronchial Asthma,1,23,16,5,4,3,29,22
Bronchial Asthma,2,22,18,6,6,2,30,43
Bronchial Asthma,1,27,13,4,4,1,29,26
Bronchial Asthma,3,24,14,6,5,3,28,31
Bronchial Asthma,2,25,15,5,6,1,30,31
Bronchial Asthma,3,26,17,4,4,2,28,22
Bronchial Asthma,2,25,12,6,6,3,29,26
Bronchial Asthma,3,22,9,5,5,1,28,40
Hypertension ,2,27,10,6,4,2,29,29
Hypertension ,3,24,11,5,5,3,30,40
Hypertension ,2,25,18,4,4,2,28,24
Hypertension ,3,27,15,6,6,3,29,48
Hypertension ,1,22,9,4,4,2,28,22
Hypertension ,3,24,17,5,6,1,30,48
Hypertension ,1,27,10,4,5,2,29,20
Hypertension ,3,22,15,6,6,1,28,29
Hypertension ,2,25,17,5,5,3,29,28
Hypertension ,3,26,13,6,4,2,28,34
Migraine,2,23,14,5,5,3,29,36
Migraine,3,27,8,6,6,1,28,24
Migraine,1,26,15,5,5,3,29,30
Migraine,2,21,17,4,6,2,28,29
Migraine,1,23,11,5,5,3,30,30
Migraine,3,27,17,6,4,1,28,28
Migraine,1,26,13,5,5,2,29,24
Migraine,2,24,14,4,4,1,28,28
Migraine,1,23,11,6,5,3,30,33
Migraine,3,26,9,4,6,2,29,29
Cervical spondylosis,1,25,17,6,5,3,30,26
Cervical spondylosis,3,26,9,4,6,2,28,36
Cervical spondylosis,2,25,8,6,5,3,29,29
Cervical spondylosis,3,19,11,4,4,2,30,22
Cervical spondylosis,1,26,9,6,5,3,29,40
Cervical spondylosis,2,24,11,4,4,1,30,28
Cervical spondylosis,3,20,10,5,5,2,29,33
Cervical spondylosis,1,24,11,6,4,1,30,31
Cervical spondylosis,3,27,18,5,5,3,29,26
Cervical spondylosis,1,20,14,4,4,2,30,24
Paralysis (brain hemorrhage),3,27,8,5,5,3,29,34
Paralysis (brain hemorrhage),1,21,10,4,6,2,28,22
Paralysis (brain hemorrhage),2,25,8,6,4,1,30,24
Paralysis (brain hemorrhage),3,19,11,4,6,3,29,30
Paralysis (brain hemorrhage),1,21,13,5,5,1,30,31
Paralysis (brain hemorrhage),2,27,15,6,6,3,29,36
Paralysis (brain hemorrhage),1,25,16,4,5,1,28,28
Paralysis (brain hemorrhage),2,19,13,6,6,2,30,36
Paralysis (brain hemorrhage),3,26,8,4,5,3,28,31
Paralysis (brain hemorrhage),2,20,14,6,6,1,30,36
Jaundice,3,26,18,4,5,2,28,28
Jaundice,1,27,14,5,6,3,30,36
Jaundice,3,25,8,6,5,2,29,20
Jaundice,2,20,15,4,6,1,28,40
Jaundice,1,19,12,6,4,2,30,24
Jaundice,3,22,11,5,6,3,29,24
Jaundice,1,27,7,6,5,1,28,31
Jaundice,3,26,15,4,6,3,30,28
Jaundice,1,22,18,5,5,2,29,26
Jaundice,2,24,16,4,6,3,28,31
Malaria,1,27,18,6,5,1,29,72
Malaria,2,25,16,4,4,3,28,71
Malaria,3,23,18,6,6,2,30,66
Malaria,2,26,12,5,4,3,28,77
Malaria,1,27,9,6,5,2,29,72
Malaria,2,26,15,4,6,1,28,66
Malaria,3,21,9,5,4,3,29,95
Malaria,2,20,18,4,6,1,28,66
Malaria,1,19,7,6,4,3,30,66
Malaria,3,20,15,5,6,1,29,95
Chicken pox,1,21,18,4,5,3,30,22
Chicken pox,3,25,16,5,6,1,28,48
Chicken pox,1,20,7,4,5,2,30,24
Chicken pox,3,26,16,6,4,3,28,31
Chicken pox,1,22,13,4,5,1,30,31
Chicken pox,2,24,18,6,4,3,29,28
Chicken pox,3,20,7,4,6,1,28,26
